Rate_ID,Carrier,POL_Origin,POD_Destination,Container_Type,Ocean_Freight_USD,THC_USD,Seal_Fee_USD,Doc_Fee_USD,Total_Cost_USD,Valid_From,Valid_To,Transit_Time_Days
RTE-00200,COSCO,VNDNG (Da Nang),USLGB (Long Beach),20DC,2747,140,10,40,2937,2026-07-02,2026-07-17,13
RTE-00201,COSCO,VNSGN (Cat Lai),NLRTM (Rotterdam),40HC,2585,210,10,40,2845,2026-07-30,2026-08-14,26
RTE-00202,Maersk,VNDNG (Da Nang),CNSHA (Shanghai),20DC,227,140,10,40,417,2026-07-06,2026-07-21,26
RTE-00203,Maersk,VNHPH (Hai Phong),CNSHA (Shanghai),20DC,445,140,10,40,635,2026-07-21,2026-08-05,28
RTE-00204,COSCO,VNSGN (Cat Lai),USLAX (Los Angeles),20DC,2222,140,10,40,2412,2026-07-22,2026-08-06,21
RTE-00205,MSC,VNHPH (Hai Phong),USLGB (Long Beach),20DC,2435,140,10,40,2625,2026-07-07,2026-07-22,35
RTE-00206,ONE,VNSGN (Cat Lai),USLGB (Long Beach),40HC,3934,210,10,40,4194,2026-07-18,2026-08-02,25
RTE-00207,ONE,VNHPH (Hai Phong),NLRTM (Rotterdam),20DC,1895,140,10,40,2085,2026-07-07,2026-07-22,27
RTE-00208,CMA CGM,VNHPH (Hai Phong),CNSHA (Shanghai),20DC,397,140,10,40,587,2026-07-10,2026-07-25,30
RTE-00209,Hapag-Lloyd,VNSGN (Cat Lai),USLGB (Long Beach),40HC,3160,210,10,40,3420,2026-07-29,2026-08-13,19
RTE-00210,COSCO,VNSGN (Cat Lai),USLAX (Los Angeles),20DC,2062,140,10,40,2252,2026-07-15,2026-07-30,23
RTE-00211,MSC,VNHPH (Hai Phong),CNSHA (Shanghai),20DC,363,140,10,40,553,2026-07-05,2026-07-20,34
RTE-00212,MSC,VNSGN (Cat Lai),DEHAM (Hamburg),40HC,2431,210,10,40,2691,2026-07-02,2026-07-17,13
RTE-00213,Maersk,VNDNG (Da Nang),NLRTM (Rotterdam),40HC,2010,210,10,40,2270,2026-07-25,2026-08-09,28
RTE-00214,Maersk,VNDNG (Da Nang),USLAX (Los Angeles),20DC,1888,140,10,40,2078,2026-07-22,2026-08-06,26
RTE-00215,ONE,VNDNG (Da Nang),USLGB (Long Beach),20DC,1960,140,10,40,2150,2026-07-26,2026-08-10,14
RTE-00216,ONE,VNHPH (Hai Phong),USLAX (Los Angeles),40HC,3962,210,10,40,4222,2026-07-31,2026-08-15,35
RTE-00217,ONE,VNSGN (Cat Lai),NLRTM (Rotterdam),20DC,1923,140,10,40,2113,2026-07-01,2026-07-16,21
RTE-00218,MSC,VNSGN (Cat Lai),CNSHA (Shanghai),40HC,440,210,10,40,700,2026-07-24,2026-08-08,29
RTE-00219,MSC,VNDNG (Da Nang),NLRTM (Rotterdam),40HC,2231,210,10,40,2491,2026-07-21,2026-08-05,35
RTE-00220,Hapag-Lloyd,VNHPH (Hai Phong),USLAX (Los Angeles),40HC,2899,210,10,40,3159,2026-07-26,2026-08-10,22
RTE-00221,COSCO,VNHPH (Hai Phong),CNSHA (Shanghai),40HC,438,210,10,40,698,2026-07-15,2026-07-30,25
RTE-00222,ONE,VNHPH (Hai Phong),NLRTM (Rotterdam),40HC,2772,210,10,40,3032,2026-07-19,2026-08-03,34
RTE-00223,Evergreen,VNDNG (Da Nang),NLRTM (Rotterdam),40HC,2851,210,10,40,3111,2026-07-27,2026-08-11,31
RTE-00224,ONE,VNSGN (Cat Lai),NLRTM (Rotterdam),40HC,2406,210,10,40,2666,2026-07-02,2026-07-17,34
RTE-00225,ONE,VNHPH (Hai Phong),USLAX (Los Angeles),20DC,2790,140,10,40,2980,2026-07-13,2026-07-28,17
RTE-00226,Hapag-Lloyd,VNHPH (Hai Phong),DEHAM (Hamburg),40HC,2090,210,10,40,2350,2026-07-19,2026-08-03,34
RTE-00227,Evergreen,VNSGN (Cat Lai),DEHAM (Hamburg),40HC,2325,210,10,40,2585,2026-07-26,2026-08-10,18
RTE-00228,CMA CGM,VNSGN (Cat Lai),USLGB (Long Beach),20DC,2136,140,10,40,2326,2026-07-23,2026-08-07,33
RTE-00229,CMA CGM,VNDNG (Da Nang),CNSHA (Shanghai),20DC,414,140,10,40,604,2026-07-01,2026-07-16,24
RTE-00230,Hapag-Lloyd,VNHPH (Hai Phong),DEHAM (Hamburg),20DC,1504,140,10,40,1694,2026-07-13,2026-07-28,29
RTE-00231,Maersk,VNDNG (Da Nang),USLGB (Long Beach),40HC,3027,210,10,40,3287,2026-07-12,2026-07-27,16
RTE-00232,Evergreen,VNSGN (Cat Lai),USLGB (Long Beach),20DC,2378,140,10,40,2568,2026-07-21,2026-08-05,24
RTE-00233,Hapag-Lloyd,VNHPH (Hai Phong),NLRTM (Rotterdam),40HC,3134,210,10,40,3394,2026-07-22,2026-08-06,20
RTE-00234,CMA CGM,VNHPH (Hai Phong),USLGB (Long Beach),20DC,1985,140,10,40,2175,2026-07-22,2026-08-06,12
RTE-00235,MSC,VNSGN (Cat Lai),USLGB (Long Beach),40HC,3705,210,10,40,3965,2026-07-22,2026-08-06,16
RTE-00236,Hapag-Lloyd,VNHPH (Hai Phong),CNSHA (Shanghai),20DC,261,140,10,40,451,2026-07-18,2026-08-02,12
RTE-00237,ONE,VNDNG (Da Nang),CNSHA (Shanghai),20DC,462,140,10,40,652,2026-07-01,2026-07-16,20
RTE-00238,Hapag-Lloyd,VNDNG (Da Nang),CNSHA (Shanghai),40HC,592,210,10,40,852,2026-07-26,2026-08-10,22
RTE-00239,Hapag-Lloyd,VNHPH (Hai Phong),CNSHA (Shanghai),40HC,536,210,10,40,796,2026-07-08,2026-07-23,19
RTE-00240,Evergreen,VNHPH (Hai Phong),USLAX (Los Angeles),20DC,2593,140,10,40,2783,2026-07-27,2026-08-11,31
RTE-00241,Evergreen,VNHPH (Hai Phong),USLAX (Los Angeles),20DC,1871,140,10,40,2061,2026-07-18,2026-08-02,24
RTE-00242,Maersk,VNHPH (Hai Phong),USLGB (Long Beach),40HC,3072,210,10,40,3332,2026-07-21,2026-08-05,24
RTE-00243,CMA CGM,VNSGN (Cat Lai),DEHAM (Hamburg),40HC,2173,210,10,40,2433,2026-07-26,2026-08-10,17
RTE-00244,MSC,VNSGN (Cat Lai),USLAX (Los Angeles),40HC,3165,210,10,40,3425,2026-07-17,2026-08-01,32
RTE-00245,CMA CGM,VNSGN (Cat Lai),CNSHA (Shanghai),40HC,569,210,10,40,829,2026-07-26,2026-08-10,16
RTE-00246,MSC,VNSGN (Cat Lai),USLAX (Los Angeles),40HC,3374,210,10,40,3634,2026-07-31,2026-08-15,12
RTE-00247,Maersk,VNHPH (Hai Phong),USLAX (Los Angeles),20DC,2577,140,10,40,2767,2026-07-14,2026-07-29,21
RTE-00248,Hapag-Lloyd,VNHPH (Hai Phong),USLGB (Long Beach),40HC,3598,210,10,40,3858,2026-07-19,2026-08-03,24
RTE-00249,Maersk,VNHPH (Hai Phong),NLRTM (Rotterdam),40HC,2355,210,10,40,2615,2026-07-17,2026-08-01,19
RTE-00250,CMA CGM,VNDNG (Da Nang),USLAX (Los Angeles),20DC,1984,140,10,40,2174,2026-07-16,2026-07-31,21
RTE-00251,Evergreen,VNHPH (Hai Phong),USLAX (Los Angeles),20DC,2578,140,10,40,2768,2026-07-09,2026-07-24,13
RTE-00252,MSC,VNHPH (Hai Phong),NLRTM (Rotterdam),40HC,2476,210,10,40,2736,2026-07-08,2026-07-23,28
RTE-00253,Maersk,VNDNG (Da Nang),USLGB (Long Beach),40HC,3971,210,10,40,4231,2026-07-09,2026-07-24,24
RTE-00254,ONE,VNDNG (Da Nang),DEHAM (Hamburg),40HC,2312,210,10,40,2572,2026-07-22,2026-08-06,30
RTE-00255,COSCO,VNHPH (Hai Phong),CNSHA (Shanghai),40HC,778,210,10,40,1038,2026-07-24,2026-08-08,17
RTE-00256,MSC,VNHPH (Hai Phong),NLRTM (Rotterdam),40HC,2932,210,10,40,3192,2026-07-20,2026-08-04,13
RTE-00257,Maersk,VNHPH (Hai Phong),USLAX (Los Angeles),40HC,3426,210,10,40,3686,2026-07-02,2026-07-17,20
RTE-00258,Hapag-Lloyd,VNHPH (Hai Phong),NLRTM (Rotterdam),40HC,2184,210,10,40,2444,2026-07-06,2026-07-21,33
RTE-00259,Hapag-Lloyd,VNDNG (Da Nang),NLRTM (Rotterdam),40HC,2741,210,10,40,3001,2026-07-06,2026-07-21,12
RTE-00260,ONE,VNDNG (Da Nang),USLAX (Los Angeles),20DC,2183,140,10,40,2373,2026-07-25,2026-08-09,32
RTE-00261,Hapag-Lloyd,VNSGN (Cat Lai),CNSHA (Shanghai),40HC,741,210,10,40,1001,2026-07-05,2026-07-20,17
RTE-00262,Evergreen,VNDNG (Da Nang),CNSHA (Shanghai),40HC,694,210,10,40,954,2026-07-06,2026-07-21,12
RTE-00263,Hapag-Lloyd,VNSGN (Cat Lai),DEHAM (Hamburg),40HC,2868,210,10,40,3128,2026-07-19,2026-08-03,12
RTE-00264,Hapag-Lloyd,VNDNG (Da Nang),USLGB (Long Beach),40HC,3790,210,10,40,4050,2026-07-01,2026-07-16,20
RTE-00265,CMA CGM,VNHPH (Hai Phong),USLGB (Long Beach),20DC,2683,140,10,40,2873,2026-07-20,2026-08-04,31
RTE-00266,MSC,VNSGN (Cat Lai),USLGB (Long Beach),20DC,2618,140,10,40,2808,2026-07-04,2026-07-19,21
RTE-00267,Evergreen,VNSGN (Cat Lai),USLAX (Los Angeles),20DC,1814,140,10,40,2004,2026-07-12,2026-07-27,15
RTE-00268,Maersk,VNDNG (Da Nang),CNSHA (Shanghai),20DC,339,140,10,40,529,2026-07-29,2026-08-13,26
RTE-00269,CMA CGM,VNDNG (Da Nang),USLGB (Long Beach),20DC,2795,140,10,40,2985,2026-07-24,2026-08-08,26
RTE-00270,Evergreen,VNHPH (Hai Phong),CNSHA (Shanghai),40HC,620,210,10,40,880,2026-07-23,2026-08-07,35
RTE-00271,Maersk,VNSGN (Cat Lai),USLAX (Los Angeles),40HC,3835,210,10,40,4095,2026-07-08,2026-07-23,32
RTE-00272,MSC,VNDNG (Da Nang),NLRTM (Rotterdam),40HC,2058,210,10,40,2318,2026-07-03,2026-07-18,13
RTE-00273,COSCO,VNHPH (Hai Phong),USLAX (Los Angeles),20DC,2337,140,10,40,2527,2026-07-30,2026-08-14,18
RTE-00274,ONE,VNSGN (Cat Lai),NLRTM (Rotterdam),40HC,2402,210,10,40,2662,2026-07-14,2026-07-29,32
RTE-00275,Hapag-Lloyd,VNDNG (Da Nang),CNSHA (Shanghai),40HC,499,210,10,40,759,2026-07-03,2026-07-18,12
RTE-00276,COSCO,VNHPH (Hai Phong),NLRTM (Rotterdam),40HC,2891,210,10,40,3151,2026-07-30,2026-08-14,26
RTE-00277,Hapag-Lloyd,VNHPH (Hai Phong),USLAX (Los Angeles),40HC,3294,210,10,40,3554,2026-07-05,2026-07-20,12
RTE-00278,COSCO,VNSGN (Cat Lai),USLGB (Long Beach),40HC,3148,210,10,40,3408,2026-07-06,2026-07-21,15
RTE-00279,ONE,VNDNG (Da Nang),USLGB (Long Beach),20DC,2318,140,10,40,2508,2026-07-03,2026-07-18,14
RTE-00280,Hapag-Lloyd,VNHPH (Hai Phong),NLRTM (Rotterdam),40HC,2763,210,10,40,3023,2026-07-23,2026-08-07,34
RTE-00281,Maersk,VNDNG (Da Nang),USLAX (Los Angeles),20DC,1816,140,10,40,2006,2026-07-23,2026-08-07,26
RTE-00282,COSCO,VNSGN (Cat Lai),DEHAM (Hamburg),20DC,1641,140,10,40,1831,2026-07-14,2026-07-29,27
RTE-00283,Maersk,VNHPH (Hai Phong),USLAX (Los Angeles),40HC,2633,210,10,40,2893,2026-07-11,2026-07-26,18
RTE-00284,COSCO,VNHPH (Hai Phong),USLGB (Long Beach),40HC,3106,210,10,40,3366,2026-07-23,2026-08-07,22
RTE-00285,MSC,VNDNG (Da Nang),NLRTM (Rotterdam),20DC,1988,140,10,40,2178,2026-07-31,2026-08-15,18
RTE-00286,MSC,VNHPH (Hai Phong),DEHAM (Hamburg),20DC,2046,140,10,40,2236,2026-07-11,2026-07-26,26
RTE-00287,CMA CGM,VNDNG (Da Nang),NLRTM (Rotterdam),20DC,1454,140,10,40,1644,2026-07-30,2026-08-14,34
RTE-00288,Evergreen,VNSGN (Cat Lai),NLRTM (Rotterdam),20DC,1572,140,10,40,1762,2026-07-27,2026-08-11,33
RTE-00289,Maersk,VNSGN (Cat Lai),DEHAM (Hamburg),40HC,2621,210,10,40,2881,2026-07-18,2026-08-02,23
RTE-00290,Evergreen,VNDNG (Da Nang),USLAX (Los Angeles),40HC,3895,210,10,40,4155,2026-07-05,2026-07-20,33
RTE-00291,COSCO,VNHPH (Hai Phong),USLAX (Los Angeles),40HC,2677,210,10,40,2937,2026-07-22,2026-08-06,19
RTE-00292,CMA CGM,VNDNG (Da Nang),DEHAM (Hamburg),20DC,1483,140,10,40,1673,2026-07-25,2026-08-09,14
RTE-00293,Evergreen,VNDNG (Da Nang),DEHAM (Hamburg),20DC,1864,140,10,40,2054,2026-07-03,2026-07-18,25
RTE-00294,Maersk,VNDNG (Da Nang),CNSHA (Shanghai),20DC,367,140,10,40,557,2026-07-21,2026-08-05,24
RTE-00295,ONE,VNHPH (Hai Phong),USLAX (Los Angeles),40HC,3830,210,10,40,4090,2026-07-24,2026-08-08,28
RTE-00296,Hapag-Lloyd,VNSGN (Cat Lai),DEHAM (Hamburg),20DC,1939,140,10,40,2129,2026-07-14,2026-07-29,34
RTE-00297,MSC,VNSGN (Cat Lai),CNSHA (Shanghai),20DC,346,140,10,40,536,2026-07-28,2026-08-12,16
RTE-00298,Maersk,VNDNG (Da Nang),USLGB (Long Beach),20DC,2181,140,10,40,2371,2026-07-18,2026-08-02,25
RTE-00299,Hapag-Lloyd,VNHPH (Hai Phong),CNSHA (Shanghai),20DC,406,140,10,40,596,2026-07-24,2026-08-08,18
RTE-00300,CMA CGM,VNSGN (Cat Lai),CNSHA (Shanghai),20DC,267,140,10,40,457,2026-07-24,2026-08-08,25
RTE-00301,CMA CGM,VNSGN (Cat Lai),USLAX (Los Angeles),40HC,3328,210,10,40,3588,2026-07-29,2026-08-13,28
RTE-00302,Hapag-Lloyd,VNHPH (Hai Phong),USLAX (Los Angeles),20DC,1880,140,10,40,2070,2026-07-25,2026-08-09,17
RTE-00303,COSCO,VNDNG (Da Nang),CNSHA (Shanghai),20DC,229,140,10,40,419,2026-07-23,2026-08-07,31
RTE-00304,Evergreen,VNHPH (Hai Phong),USLAX (Los Angeles),20DC,2501,140,10,40,2691,2026-07-28,2026-08-12,24
RTE-00305,ONE,VNDNG (Da Nang),USLGB (Long Beach),20DC,1977,140,10,40,2167,2026-07-16,2026-07-31,29
RTE-00306,MSC,VNHPH (Hai Phong),USLGB (Long Beach),40HC,3096,210,10,40,3356,2026-07-23,2026-08-07,32
RTE-00307,ONE,VNSGN (Cat Lai),CNSHA (Shanghai),40HC,415,210,10,40,675,2026-07-30,2026-08-14,28
RTE-00308,Hapag-Lloyd,VNSGN (Cat Lai),DEHAM (Hamburg),40HC,2950,210,10,40,3210,2026-07-05,2026-07-20,28
RTE-00309,Maersk,VNSGN (Cat Lai),CNSHA (Shanghai),40HC,401,210,10,40,661,2026-07-03,2026-07-18,17
RTE-00310,Hapag-Lloyd,VNHPH (Hai Phong),USLAX (Los Angeles),20DC,2457,140,10,40,2647,2026-07-29,2026-08-13,12
RTE-00311,Maersk,VNSGN (Cat Lai),NLRTM (Rotterdam),20DC,1894,140,10,40,2084,2026-07-21,2026-08-05,13
RTE-00312,COSCO,VNHPH (Hai Phong),USLAX (Los Angeles),20DC,2177,140,10,40,2367,2026-07-10,2026-07-25,24
RTE-00313,MSC,VNDNG (Da Nang),USLAX (Los Angeles),20DC,2677,140,10,40,2867,2026-07-27,2026-08-11,21
RTE-00314,MSC,VNDNG (Da Nang),NLRTM (Rotterdam),20DC,1806,140,10,40,1996,2026-07-27,2026-08-11,12
RTE-00315,MSC,VNHPH (Hai Phong),NLRTM (Rotterdam),20DC,1771,140,10,40,1961,2026-07-07,2026-07-22,33
RTE-00316,ONE,VNSGN (Cat Lai),DEHAM (Hamburg),20DC,1740,140,10,40,1930,2026-07-07,2026-07-22,14
RTE-00317,CMA CGM,VNSGN (Cat Lai),DEHAM (Hamburg),20DC,2053,140,10,40,2243,2026-07-07,2026-07-22,21
RTE-00318,COSCO,VNSGN (Cat Lai),CNSHA (Shanghai),20DC,446,140,10,40,636,2026-07-07,2026-07-22,18
RTE-00319,Evergreen,VNSGN (Cat Lai),USLGB (Long Beach),40HC,3553,210,10,40,3813,2026-07-04,2026-07-19,30
RTE-00320,MSC,VNSGN (Cat Lai),USLGB (Long Beach),40HC,2857,210,10,40,3117,2026-07-23,2026-08-07,25
RTE-00321,MSC,VNSGN (Cat Lai),USLAX (Los Angeles),20DC,2003,140,10,40,2193,2026-07-01,2026-07-16,34
RTE-00322,Evergreen,VNHPH (Hai Phong),DEHAM (Hamburg),20DC,1847,140,10,40,2037,2026-07-08,2026-07-23,35
RTE-00323,COSCO,VNHPH (Hai Phong),USLGB (Long Beach),20DC,1904,140,10,40,2094,2026-07-28,2026-08-12,31
RTE-00324,MSC,VNSGN (Cat Lai),DEHAM (Hamburg),40HC,2403,210,10,40,2663,2026-07-26,2026-08-10,27
RTE-00325,CMA CGM,VNSGN (Cat Lai),NLRTM (Rotterdam),40HC,2075,210,10,40,2335,2026-07-18,2026-08-02,20
RTE-00326,CMA CGM,VNDNG (Da Nang),CNSHA (Shanghai),40HC,724,210,10,40,984,2026-07-14,2026-07-29,15
RTE-00327,MSC,VNSGN (Cat Lai),CNSHA (Shanghai),20DC,475,140,10,40,665,2026-07-15,2026-07-30,19
RTE-00328,CMA CGM,VNSGN (Cat Lai),USLGB (Long Beach),40HC,2807,210,10,40,3067,2026-07-13,2026-07-28,16
RTE-00329,CMA CGM,VNHPH (Hai Phong),CNSHA (Shanghai),20DC,483,140,10,40,673,2026-07-16,2026-07-31,18
RTE-00330,Hapag-Lloyd,VNSGN (Cat Lai),USLGB (Long Beach),20DC,2123,140,10,40,2313,2026-07-28,2026-08-12,20
RTE-00331,Evergreen,VNHPH (Hai Phong),USLAX (Los Angeles),40HC,3197,210,10,40,3457,2026-07-05,2026-07-20,19
RTE-00332,CMA CGM,VNHPH (Hai Phong),CNSHA (Shanghai),20DC,263,140,10,40,453,2026-07-16,2026-07-31,33
RTE-00333,CMA CGM,VNHPH (Hai Phong),NLRTM (Rotterdam),40HC,2914,210,10,40,3174,2026-07-20,2026-08-04,13
RTE-00334,CMA CGM,VNSGN (Cat Lai),DEHAM (Hamburg),40HC,3147,210,10,40,3407,2026-07-15,2026-07-30,29
RTE-00335,ONE,VNHPH (Hai Phong),USLAX (Los Angeles),20DC,2330,140,10,40,2520,2026-07-02,2026-07-17,13
RTE-00336,COSCO,VNHPH (Hai Phong),CNSHA (Shanghai),40HC,597,210,10,40,857,2026-07-17,2026-08-01,34
RTE-00337,Maersk,VNHPH (Hai Phong),CNSHA (Shanghai),20DC,316,140,10,40,506,2026-07-29,2026-08-13,17
RTE-00338,Evergreen,VNDNG (Da Nang),DEHAM (Hamburg),40HC,2688,210,10,40,2948,2026-07-09,2026-07-24,32
RTE-00339,ONE,VNHPH (Hai Phong),NLRTM (Rotterdam),40HC,2433,210,10,40,2693,2026-07-28,2026-08-12,25
RTE-00340,ONE,VNSGN (Cat Lai),DEHAM (Hamburg),20DC,2160,140,10,40,2350,2026-07-06,2026-07-21,30
RTE-00341,MSC,VNSGN (Cat Lai),CNSHA (Shanghai),20DC,231,140,10,40,421,2026-07-05,2026-07-20,20
RTE-00342,ONE,VNSGN (Cat Lai),USLGB (Long Beach),40HC,2741,210,10,40,3001,2026-07-04,2026-07-19,32
RTE-00343,Evergreen,VNHPH (Hai Phong),DEHAM (Hamburg),20DC,2107,140,10,40,2297,2026-07-15,2026-07-30,25
RTE-00344,Evergreen,VNSGN (Cat Lai),CNSHA (Shanghai),40HC,575,210,10,40,835,2026-07-15,2026-07-30,27
RTE-00345,CMA CGM,VNHPH (Hai Phong),DEHAM (Hamburg),20DC,1755,140,10,40,1945,2026-07-22,2026-08-06,22
RTE-00346,Hapag-Lloyd,VNDNG (Da Nang),NLRTM (Rotterdam),20DC,1948,140,10,40,2138,2026-07-03,2026-07-18,26
RTE-00347,Hapag-Lloyd,VNHPH (Hai Phong),USLGB (Long Beach),20DC,2393,140,10,40,2583,2026-07-01,2026-07-16,25
RTE-00348,Maersk,VNDNG (Da Nang),USLGB (Long Beach),40HC,3370,210,10,40,3630,2026-07-19,2026-08-03,17
RTE-00349,Maersk,VNHPH (Hai Phong),DEHAM (Hamburg),40HC,3043,210,10,40,3303,2026-07-21,2026-08-05,30
RTE-00350,COSCO,VNSGN (Cat Lai),USLGB (Long Beach),20DC,2163,140,10,40,2353,2026-07-06,2026-07-21,35
RTE-00351,COSCO,VNDNG (Da Nang),DEHAM (Hamburg),20DC,2116,140,10,40,2306,2026-07-20,2026-08-04,29
RTE-00352,MSC,VNSGN (Cat Lai),USLAX (Los Angeles),40HC,2852,210,10,40,3112,2026-07-14,2026-07-29,19
RTE-00353,CMA CGM,VNHPH (Hai Phong),CNSHA (Shanghai),40HC,696,210,10,40,956,2026-07-06,2026-07-21,30
RTE-00354,Maersk,VNDNG (Da Nang),NLRTM (Rotterdam),40HC,3032,210,10,40,3292,2026-07-27,2026-08-11,34
RTE-00355,CMA CGM,VNHPH (Hai Phong),DEHAM (Hamburg),40HC,2650,210,10,40,2910,2026-07-11,2026-07-26,25
RTE-00356,COSCO,VNHPH (Hai Phong),USLGB (Long Beach),20DC,2711,140,10,40,2901,2026-07-21,2026-08-05,28
RTE-00357,Hapag-Lloyd,VNHPH (Hai Phong),USLGB (Long Beach),40HC,3555,210,10,40,3815,2026-07-31,2026-08-15,30
RTE-00358,Hapag-Lloyd,VNSGN (Cat Lai),USLAX (Los Angeles),40HC,2653,210,10,40,2913,2026-07-24,2026-08-08,32
RTE-00359,CMA CGM,VNDNG (Da Nang),CNSHA (Shanghai),20DC,445,140,10,40,635,2026-07-26,2026-08-10,26
RTE-00360,COSCO,VNHPH (Hai Phong),CNSHA (Shanghai),40HC,484,210,10,40,744,2026-07-07,2026-07-22,18
RTE-00361,Maersk,VNHPH (Hai Phong),USLGB (Long Beach),20DC,1944,140,10,40,2134,2026-07-29,2026-08-13,23
RTE-00362,Hapag-Lloyd,VNSGN (Cat Lai),USLAX (Los Angeles),40HC,2782,210,10,40,3042,2026-07-18,2026-08-02,14
RTE-00363,COSCO,VNDNG (Da Nang),CNSHA (Shanghai),20DC,233,140,10,40,423,2026-07-09,2026-07-24,25
RTE-00364,COSCO,VNHPH (Hai Phong),CNSHA (Shanghai),40HC,753,210,10,40,1013,2026-07-08,2026-07-23,23
RTE-00365,COSCO,VNDNG (Da Nang),DEHAM (Hamburg),40HC,2425,210,10,40,2685,2026-07-15,2026-07-30,14
RTE-00366,CMA CGM,VNSGN (Cat Lai),CNSHA (Shanghai),40HC,435,210,10,40,695,2026-07-10,2026-07-25,28
RTE-00367,COSCO,VNDNG (Da Nang),USLAX (Los Angeles),40HC,3566,210,10,40,3826,2026-07-22,2026-08-06,26
RTE-00368,Hapag-Lloyd,VNDNG (Da Nang),NLRTM (Rotterdam),20DC,1578,140,10,40,1768,2026-07-02,2026-07-17,13
RTE-00369,MSC,VNDNG (Da Nang),USLGB (Long Beach),20DC,2333,140,10,40,2523,2026-07-29,2026-08-13,15
RTE-00370,Evergreen,VNHPH (Hai Phong),USLGB (Long Beach),40HC,3738,210,10,40,3998,2026-07-25,2026-08-09,20
RTE-00371,MSC,VNDNG (Da Nang),CNSHA (Shanghai),40HC,498,210,10,40,758,2026-07-16,2026-07-31,30
RTE-00372,Evergreen,VNDNG (Da Nang),DEHAM (Hamburg),40HC,2162,210,10,40,2422,2026-07-07,2026-07-22,12
RTE-00373,COSCO,VNHPH (Hai Phong),NLRTM (Rotterdam),40HC,2425,210,10,40,2685,2026-07-23,2026-08-07,20
RTE-00374,Hapag-Lloyd,VNDNG (Da Nang),CNSHA (Shanghai),40HC,735,210,10,40,995,2026-07-02,2026-07-17,21
RTE-00375,MSC,VNDNG (Da Nang),DEHAM (Hamburg),40HC,2920,210,10,40,3180,2026-07-21,2026-08-05,35
RTE-00376,ONE,VNHPH (Hai Phong),NLRTM (Rotterdam),40HC,2489,210,10,40,2749,2026-07-02,2026-07-17,25
RTE-00377,ONE,VNHPH (Hai Phong),NLRTM (Rotterdam),40HC,2204,210,10,40,2464,2026-07-12,2026-07-27,18
RTE-00378,Evergreen,VNSGN (Cat Lai),DEHAM (Hamburg),40HC,2981,210,10,40,3241,2026-07-13,2026-07-28,23
RTE-00379,Evergreen,VNHPH (Hai Phong),USLAX (Los Angeles),20DC,1817,140,10,40,2007,2026-07-14,2026-07-29,28
RTE-00380,Maersk,VNHPH (Hai Phong),USLAX (Los Angeles),40HC,3995,210,10,40,4255,2026-07-28,2026-08-12,26
RTE-00381,Evergreen,VNHPH (Hai Phong),NLRTM (Rotterdam),20DC,2009,140,10,40,2199,2026-07-15,2026-07-30,24
RTE-00382,Hapag-Lloyd,VNDNG (Da Nang),CNSHA (Shanghai),20DC,344,140,10,40,534,2026-07-20,2026-08-04,23
RTE-00383,Hapag-Lloyd,VNSGN (Cat Lai),USLAX (Los Angeles),20DC,1996,140,10,40,2186,2026-07-05,2026-07-20,29
RTE-00384,Hapag-Lloyd,VNDNG (Da Nang),USLGB (Long Beach),20DC,2426,140,10,40,2616,2026-07-20,2026-08-04,24
RTE-00385,CMA CGM,VNDNG (Da Nang),DEHAM (Hamburg),20DC,2105,140,10,40,2295,2026-07-13,2026-07-28,14
RTE-00386,CMA CGM,VNHPH (Hai Phong),USLAX (Los Angeles),40HC,3795,210,10,40,4055,2026-07-30,2026-08-14,22
RTE-00387,Hapag-Lloyd,VNDNG (Da Nang),CNSHA (Shanghai),20DC,480,140,10,40,670,2026-07-19,2026-08-03,32
RTE-00388,ONE,VNHPH (Hai Phong),USLAX (Los Angeles),20DC,1949,140,10,40,2139,2026-07-12,2026-07-27,15
RTE-00389,MSC,VNDNG (Da Nang),CNSHA (Shanghai),20DC,330,140,10,40,520,2026-07-14,2026-07-29,29
RTE-00390,ONE,VNDNG (Da Nang),CNSHA (Shanghai),40HC,693,210,10,40,953,2026-07-16,2026-07-31,23
RTE-00391,Evergreen,VNSGN (Cat Lai),USLGB (Long Beach),40HC,3503,210,10,40,3763,2026-07-08,2026-07-23,26
RTE-00392,Maersk,VNSGN (Cat Lai),USLAX (Los Angeles),20DC,2763,140,10,40,2953,2026-07-18,2026-08-02,29
RTE-00393,CMA CGM,VNDNG (Da Nang),CNSHA (Shanghai),20DC,401,140,10,40,591,2026-07-03,2026-07-18,13
RTE-00394,Evergreen,VNHPH (Hai Phong),DEHAM (Hamburg),20DC,2183,140,10,40,2373,2026-07-02,2026-07-17,31
RTE-00395,COSCO,VNHPH (Hai Phong),CNSHA (Shanghai),40HC,685,210,10,40,945,2026-07-26,2026-08-10,30
RTE-00396,ONE,VNHPH (Hai Phong),DEHAM (Hamburg),40HC,2580,210,10,40,2840,2026-07-27,2026-08-11,16
RTE-00397,MSC,VNSGN (Cat Lai),NLRTM (Rotterdam),40HC,2221,210,10,40,2481,2026-07-03,2026-07-18,13
RTE-00398,CMA CGM,VNHPH (Hai Phong),USLGB (Long Beach),40HC,2744,210,10,40,3004,2026-07-25,2026-08-09,34
RTE-00399,ONE,VNHPH (Hai Phong),USLGB (Long Beach),20DC,2360,140,10,40,2550,2026-07-18,2026-08-02,16
